title	count
2007 discharge: EU general budget - Council (A7-0047/2009 , Søren Bo Søndergaard) (vote)	10
2007 discharge: EU general budget - Council (debate)	92
2007 discharge: European Police College (A6-0160/2009 , Christofer Fjellner)	2
2010 budget - Section III, Commission: 'Guidelines for Budget 2010' - Guidelines for the 2010 budget procedure - Sections I, II, IV, V, VI, VII, VIII and IX (debate)	56
2050: The future begins today – Recommendations for the EU's future integrated policy on climate change (A6-0495/2008 , Karl-Heinz Florenz) (vote)	2
2050: The future begins today − Recommendations for the EU's future integrated policy on climate change (debate)	152
25th annual report from the Commission on monitoring the application of Community law (2007) (debate)	24
50th anniversary of the Tibetan uprising and dialogue between His Holiness the Dalai Lama and the Chinese Government (vote)	8
50th anniversary of the Tibetan uprising and dialogue between the Dalai Lama and the Chinese Government (debate)	44
5th World Water Forum in Istanbul, 16-22 March 2009 (debate)	30
5th World Water Forum in Istanbul, 16-22 March 2009 (vote)	6
A political solution with regard to the piracy off the Somalian coast (debate)	50
A special place for children in EU external action (short presentation)	14
Action Plan on Urban Mobility (debate)	64
Active dialogue with citizens on Europe (A6-0107/2009 , Gyula Hegyi) (vote)	4
Active dialogue with citizens on Europe (short presentation)	18
Active inclusion of people excluded from the labour market (A6-0263/2009 , Jean Lambert)	162
Adaptation of the European Parliament's Rules of Procedure to the Lisbon Treaty (A7-0043/2009 , David Martin) (vote)	8
Adaptation of the European Parliament’s Rules of Procedure to the Lisbon Treaty (debate)	54
Adaptation to the regulatory procedure with scrutiny - Part Five (A7-0036/2009 , József Szájer) (vote)	6
Address by the President of Parliament	36
Addressing the challenges of deforestation and forest degradation to tackle climate change and biodiversity loss - Timber and timber products (debate)	20
Adjournment of the session	24
Agenda	48
Agreement between the EC and Mauritius on the short-stay visa waiver - Agreement between the EC and Seychelles on the short-stay visa waiver - Agreement between the EC and Barbados on the short-stay visa waiver - Agreement between the EC and Saint Kitts and Nevis on the short-stay visa waiver - Agreement between the EC and Antigua and Barbuda on the short-stay visa waiver - Agreement between the EC and The Bahamas on the short-stay visa waiver (debate)	16
Amendment of Regulation (EC) No 717/2007 (mobile telephone networks) and Directive 2002/21/EC (electronic communications) (A6-0138/2009 , Adina-Ioana Vălean)	6
Amendment of Regulation (EC) No 717/2007 (mobile telephone networks) and Directive 2002/21/EC (electronic communications) (debate)	32
Amendment of the agenda	2
An EU-India Free Trade Agreement (short presentation)	14
Animal by-products (A6-0087/2009 , Horst Schnellhardt)	6
Animal by-products (debate)	24
Animal transport (debate)	74
Announcement by the President	6
Announcements by the President	10
Annual Report (2007) on the main aspects and basic choices of the CFSP - European Security Strategy and ESDP - The role of NATO in the security architecture of the EU (debate)	154
Annual report on the deliberations of the Petitions Committee 2008 (short presentation)	8
Application of Directive 2004/38/EC on the right of EU citizens and their family members to move and reside freely within the territory of the Member States (A6-0186/2009 , Adina-Ioana Vălean) (vote)	12
Application of Directive 2004/38/EC on the right of EU citizens and their family members to move and reside freely within the territory of the Member States (short presentation)	10
Applied research relating to the common fisheries policy (short presentation)	8
Appointments to committees: see Minutes	4
Approval of the minutes of the previous sitting	60
Approval of the minutes of the previous sitting: see Minutes	26
Artistic studies in the European Union (short presentation)	10
Authorisation to ratify the Work in Fishing Convention, 2007, of the International Labour Organisation (Convention 188) (debate)	26
Award of the Sakharov Prize (formal sitting)	8
Azerbaijan: freedom of expression	34
Azerbaijan: freedom of expression (vote)	6
Belarus (debate)	52
Belarus (vote)	6
Bi-annual evaluation of the EU Belarus dialogue (vote)	22
Bi-annual evaluation of the EU-Belarus dialogue (debate)	48
Bilateral agreements between Member States and third countries concerning sectoral matters and covering applicable law in contractual and non-contractual obligations - Bilateral agreements between Member States and third countries on judgments and decisions in matrimonial matters, parental responsibility and maintenance obligations - Development of an EU criminal justice area (debate)	40
Body of European Regulators for Electronic Communications (BEREC) and the Office (A6-0271/2009 , Pilar del Castillo Vera)	6
