title	count
10th anniversary of UN Security Council resolution 1325 on women and peace and security (debate)	48
2008 Discharge (debate)	158
2008 annual report on the CFSP (A7-0023/2010 , Gabriele Albertini) (vote)	10
2008 annual report on the CFSP - The implementation of the European Security Strategy and the Common Security and Defence Policy - Non-proliferation Treaty (debate)	152
2008 discharge: EU general budget - Section III - Commission	8
2008 discharge: EU general budget, Council (A7-0096/2010 , Ryszard Czarnecki) (vote)	14
2008 discharge: EU general budget, European Parliament	8
2008 discharge: European Police College (A7-0253/2010 , Véronique Mathieu) (vote)	4
2009 progress report on Croatia (B7-0067/2010 ) (vote)	4
2009 progress report on Croatia - 2009 progress report on the Former Yugoslav Republic of Macedonia - 2009 progress report on Turkey (debate)	228
2009 progress report on Turkey (B7-0068/2010 ) (vote)	4
2009 progress report on the Former Yugoslav Republic of Macedonia (B7-0065/2010 ) (vote)	8
2011 budget (debate)	118
A catch documentation programme for bluefin tuna (thunnus thynnus) (debate)	54
A new Energy Strategy for Europe 2011 - 2020 (A7-0313/2010 , Lena Kolarska-Bobińska) (vote)	8
A new Energy Strategy for Europe 2011 - 2020 (debate)	102
A new impetus for the Strategy for the Sustainable Development of European Aquaculture (debate)	76
A new strategy for Afghanistan (A7-0333/2010 , Pino Arlacchi) (vote)	14
A new strategy for Afghanistan (debate)	82
A sustainable future for transport (A7-0189/2010 , Mathieu Grosch) (vote)	6
A sustainable future for transport (debate)	80
AIDS/HIV in view of the XVIII International AIDS Conference (Vienna July 18-23, 2010) (B7-0412/2010 ) (vote)	24
AIDS/HIV in view of the XVIII International AIDS Conference (Vienna, July 18-23 2010) (debate)	36
Accession agreement of the European Union to the European Convention for the Protection of Human Rights and Fundamental Freedoms (debate)	60
Adaptation of Parliament's Rules of Procedure to the revised framework agreement on relations between the European Parliament and the Commission (A7-0278/2010 , Paulo Rangel) (vote)	2
Adaptation of the Rules of Procedure to the Treaty of Lisbon (A7-0043/2009 , David Martin) (vote)	10
Additional Protocol to the Cooperation Agreement for the Protection of the Coasts and Waters of the North-East Atlantic against Pollution (A7-0009/2010 ) (vote)	4
Adjournment of the session	34
Administrative cooperation in the field of taxation (A7-0006/2010 , Magdalena Alvarez) (vote)	2
Administrative cooperation in the field of taxation - Mutual assistance for the recovery of claims relating to taxes, duties and other measures - Reverse charge mechanism: goods and services susceptible to fraud - Promoting Good Governance in Tax Matters (debate)	108
Adoption by Estonia of the euro on 1 January 2011 (debate)	40
Agenda	6
Agreement between the EC and Pakistan on readmission (A7-0231/2010 , Csaba Sógor) (vote)	4
Agreement between the EC and Pakistan on readmission - Community readmission agreements with third countries (debate)	70
Agreement between the EU and Japan on mutual legal assistance in criminal matters (A7-0209/2010 , Salvatore Iacolino) (vote)	4
Agreement between the EU and the USA on the processing and transfer of Financial Messaging Data from the European Union to the United States for purposes of the Terrorist Finance Tracking Program (A7-0013/2010 , Jeanine Hennis-Plasschaert) (vote)	14
Agreement between the EU and the USA on the processing and transfer of Financial Messaging Data from the European Union to the United States for purposes of the Terrorist Finance Tracking Programme (debate)	84
Agreement between the EU and the USA on the processing and transfer of financial messaging data from the EU to the USA for purposes of the Terrorist Finance Tracking Program (A7-0224/2010 , Alexander Alvaro) (vote)	12
Agreement between the EU and the USA on the processing and transfer of financial messaging data from the EU to the USA for purposes of the Terrorist Finance Tracking Program (debate)	74
Agricultural product quality policy: what strategy to follow? (debate)	72
Agriculture in areas with natural handicaps: A special health check (short presentation)	26
Aid for Pakistan and possible implication for the European industrial sector (debate)	56
Air safety: EU airline blacklist (debate)	40
Albania (B7-0408/2010 ) (vote)	6
Alternative investment fund managers (A7-0171/2010 , Jean-Paul Gauzès)	4
Alternative investment fund managers (debate)	82
Amending Budget 1/2010 (Section I, European Parliament) (debate)	30
