title	count
1 December 2007: World AIDS Day (debate)	20
2006 Progress Report on the Former Yugoslav Republic of Macedonia (debate)	40
2006 Progress Report on the Former Yugoslav Republic of Macedonia (vote)	6
2007 Sakharov Prize (announcement of winner)	2
2008 budget guidelines (Sections I, II, IV, V, VI, VII, VIII(A) and VIII(B))	20
2008 draft general budget: Section III – 2008 draft general budget: Sections I, II, IV, V, VI, VII, VIII and IX (debate)	138
A Maritime Policy for the EU	50
A renewed EU tourism policy: towards a stronger partnership for European tourism (debate)	44
ACP-EU Joint Parliamentary Assembly (debate)	36
ACP-EU Joint Parliamentary Assembly (vote)	6
Adaption of Title IV of the EC Treaty – Court of Justice (vote)	4
Additional rules on the common organisation of the milk and milk products markets (vote)	8
Address by the President of Parliament	28
Adjournment of session	2
Adjournment of the session	34
Advanced therapy medicinal products (debate)	58
Advanced therapy medicinal products (vote)	20
Agenda	34
Agenda: see Minutes	10
Aid for farmers affected by frost damage (debate)	22
Air pollution: ambient air quality and cleaner air for Europe (debate)	56
Airport capacity and ground handling (debate)	50
Amendment of Directive 2003/87/EC so as to include aviation activities in the scheme for greenhouse gas emission allowance trading within the Community (debate)	90
Amendment of Directive 2004/49/EC on safety on the Community's railways - Interoperability of the Community rail system (recast) - Amendment of Regulation (EC) No 881/2004 establishing a European Railway Agency (debate)	42
Amendment of the ACP-EC Partnership Agreement (debate)	26
Amendment of the Rules of Procedure in light of the Statute for Members (vote)	4
An international treaty prohibiting cluster bombs (debate)	36
Announcement by the President	10
Announcement by the President: see Minutes	2
Announcement of the candidates for election to the office of President	12
Annual political strategy 2008 (debate)	72
Annual report of the European Union on Human Rights (debate)	48
Application of Directive 2004/38/EC on the right of citizens of the Union and their families to move and reside freely within the territory of the Member States (debate)	52
Application of Directive 2004/38/EC on the right of citizens of the Union and their families to move and reside freely within the territory of the Member States (motions for resolutions tabled): see Minutes	2
Application of Directive 2004/38/EC on the right of citizens of the Union and their families to move and reside freely within the territory of the Member States (vote)	32
Application of the Schengen acquis - Application of the Schengen acquis in the Czech Republic, Estonia, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia (continuation of debate)	32
Application of the Schengen acquis - Application of the Schengen acquis in the Czech Republic, Estonia, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia (debate)	54
Application of the Schengen acquis relating to the Schengen Information System (vote)	4
Appointment of 7 members of the Court of Auditors (debate)	16
Approval by the European Parliament of the Charter of Fundamental Rights of the European Union (debate)	52
Approval by the European Parliament of the Charter of Fundamental Rights of the European Union (vote)	4
Approval of Minutes of previous sitting	6
Approval of Minutes of previous sitting: see Minutes	22
Approval of motor vehicles and their trailers (debate)	14
Assessing Euratom (debate)	42
Assessment and management of flood risks (debate)	32
Assessment and management of flood risks (vote)	2
Asset management II (debate)	24
Asset management II (vote)	4
Assignment conferred on a Member	2
Award of the Sakharov Prize (Formal sitting)	6
Bali Conference on Climate Change (vote)	10
Baltic Sea cod (debate)	22
Bangladesh	24
Bangladesh (vote)	6
Banning seal products in the EU (debate)	24
Beniamino Donnici (debate)	16
Berlin Declaration (debate)	44
Better Regulation - Better law-making 2005:, subsidiarity and proportionality - Simplification of the regulatory environment - Use of 'soft law' (debate)	70
Bosnia-Herzegovina (debate)	50
Broadband (debate)	46
Budget aid for developing countries (debate)	28
Burma	52
Burma (vote)	2
Business registers for statistical purposes (debate)	16
Business registers for statistical purposes (vote)	6
CAP: common rules for direct support schemes and certain support schemes for farmers and support for rural development (debate)	40
CAP: common rules for direct support schemes and certain support schemes for farmers and support for rural development (vote)	4
Calendar of part-sessions: see Minutes	2
Cambodia	18
Cat and dog fur (debate)	44
Childcare (debate)	40
Christian communities in the Middle East (debate)	44
Climate change (continuation of debate)	82
Climate change (debate)	26
Climate change (vote)	6
Closing of the session	2
Closure of sitting	6
Combating HIV/Aids within the EU and in the neighbouring countries 2006-2009 (debate)	44
Combating HIV/Aids within the EU and in the neighbouring countries 2006-2009 (vote)	4
Combating cigarette smuggling (EC-Philip Morris agreement) (debate)	26
Combating racism and xenophobia (vote)	4
Combating the rise of extremism in Europe (debate)	100
Combating violence (Daphne III programme) (debate)	36
Comfort women (vote)	12
Comitology (debate)	14
Commission Question Time	1346
Commission legislative programme and work programme for 2008 (debate)	122
Commission statement: Consumer policy strategy 2007-2013 (debate)	42
Common Foreign and Security Policy 2005 (debate)	40
Common Foreign and Security Policy 2005 (vote)	4
Common authorisation procedure for food additives (vote)	4
Common authorisation procedure for food additives – Food additives – Food enzymes – Flavourings and food ingredients with flavouring properties for use in and on foods (debate)	44
Common organisation of agricultural markets (debate)	28
Common organisation of the market in cereals (debate)	24
Common organisation of the market in cereals (vote)	6
Common organisation of the market in wine (debate)	170
Common organisation of the markets in fisheries and aquaculture (vote)	4
Common organisation of the markets in the sugar sector (vote)	4
Common principles on flexicurity (debate)	52
Common principles on flexicurity (vote)	6
Common rules for air transport services (debate)	24
Common rules for air transport services (vote)	6
Common rules in the field of civil aviation security (debate)	30
Common rules in the field of civil aviation security (vote)	6
Communication infrastructure for the Schengen Information System environment (decision) (vote)	6
Communication of Council common positions: see Minutes	8
Community Statistical Programme (2008-2012) – Timely transmission and verification of statistical data provided by Member States (debate)	18
Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles (debate)	42
Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles (vote)	10
Community action on the provision of cross-border health care (debate)	28
Community action programme in the field of health – Action to tackle cardiovascular disease (debate)	44
Community action programme to promote activities in the field of the protection of the Community's financial interests (Hercule II programme) (vote)	4
Community code relating to medicinal products for human use (implementing powers conferred on the Commission) (vote)	4
Community financial aid in the field of the trans-European transport and energy networks (debate)	28
Community postal services (debate)	98
Community postal services (vote)	6
Community statistics on public health and health and safety at work (vote)	4
Community vessel traffic monitoring (vote)	4
Community vessel traffic monitoring - Investigation of accidents - Liability of carriers of passengers by boat in the event of accidents - Port State control - Ship inspection and survey organisations (debate)	90
Company law (debate)	12
Competition Policy 2005 (debate)	18
Competition Policy 2005 (vote)	4
Complaint by Boeing (US) against Airbus (EU) before the WTO (debate)	26
Compliance with the Charter of Fundamental Rights (debate)	30
Compliance with the Charter of Fundamental Rights (vote)	4
Compliance with the obligations of Flag States - Civil liability and financial guarantees of shipowners (debate)	26
Composition of the Conference of Presidents (amendment of Rule 23) (vote)	4
Composition of the European Parliament (vote)	28
Conclusions of the G8 meeting - MDGs at the Midway Point (debate)	76
Consultation of the Visa Information System (VIS) (vote)	4
Consumer confidence in the digital environment (continuation of debate)	18
Consumer confidence in the digital environment (debate)	28
Consumer confidence in the digital environment (vote)	6
Control of the acquisition and possession of weapons (debate)	42
Control of the acquisition and possession of weapons (vote)	10
Convening of the Intergovernmental Conference: opinion of the European Parliament (debate)	62
Convening of the Intergovernmental Conference: opinion of the European Parliament (vote)	16
Convention on the fight against desertification (vote)	2
Convention to Combat Desertification (debate)	28
Conventional energy sources and energy technology (debate)	66
Cooperation between committees (amendment of Rule 47) (vote)	6
Cooperation between the Fundamental Rights Agency and the Council of Europe (debate)	20
Coordination of certain of the Member States' provisions on television broadcasting (debate)	28
Corporate social responsibility (debate)	50
Corrections to votes and voting intentions	22
Corrections to votes and voting intentions: see Minutes	50
Corrections to votes from previous sittings: see Minutes	2
Council Question Time	1180
Council's strategy for the Bali Conference on Climate Change (COP 13 and COP/MOP 3) (debate)	60
Crisis at Equitable Life – Report by the temporary committee of inquiry (debate)	62
Crisis of the Equitable Life Assurance Society (vote)	4
Cross-border collective copyright management (debate)	58
Cross-border collective copyright management (vote)	2
Cuba	32
Cuba (vote)	8
Damages actions for breach of competition rules (debate)	22
Dangerous toys manufactured in China (debate)	98
Darfur (vote)	6
Debate on the future of Europe (debate)	70
Debate on the future of Europe with the participation of the Prime Minister of Italy, Member of the European Council (debate)	86
Decent work (debate)	54
Decent work (vote)	4
Decision on urgent procedure	18
Decision-making in the common European asylum system (debate)	32
Definition, description, presentation and labelling of spirit drinks (debate)	84
Dehydrated preserved milk for human consumption - Common organisation of the milk and milk products market - Additional rules on the common organisation of the milk and milk products markets (debate)	56
Deliberate release into the environment of genetically modified organisms (implementing powers conferred on the Commission) (vote)	4
Democratic scrutiny under the Development Cooperation Instrument (debate)	24
Deposit-guarantee schemes (debate)	22
Derogations from internal market rules for defence procurement on the basis of Article 296 TEC (debate)	24
Development of the Community's railways (vote)	6
Development of the Community's railways - Certification of train drivers operating locomotives and trains on the railway system in the Community - Rail passengers' rights and obligations (debate)	70
